"","Insurance Activities","","","",""
"","","","","","Rs. million"
"Item","2016","2017","2018","2019","2020 (a)"
"1. 
  Stated Capital (as at 31st December)","40,911","40,063","40,884","43,546","44,173"
"2. 
  Life Insurance","","","","",""
"Life Insurance Fund (as at 31st December)","273,269","282,642","306,104","341,857","397,018"
"New Business","","","","",""
"Total Number of Policies (‘000 units)","663","636","712","735","740"
"Total Sums Insured","537,790","721,125","804,865","1,036,967","1,683,622"
"Total Premium Collected","19,364","20,721","22,368","24,647","30,632"
"Business in Force (Including new policies):","","","","",""
"Total Number of Policies (‘000 units as at 31st December)","2,896","3,069","3,216","3,383","3,593"
"Total Sums Insured (as at 31st December)","1,690,869","2,413,655","2,850,115","3,844,753","5,037,140"
"Total Premium Collected","59,548","67,744","74,624","84,570","95,828"
"Benefit Payments","","","","",""
"Total","22,622","25,967","34,337","35,139","37,903"
"Maturity (Endowments paid at maturity)","12,713","14,240","18,279","18,485","21,668"
"Death and Disability","2,141","2,725","3,766","3,723","3,355"
"Surrender","5,296","5,392","6,995","7,142","6,952"
"Other","2,473","3,611","5,297","5,789","5,929"
"3. 
  Fire Insurance","","","","",""
"Net Premium (Gross Premium - Reinsurance Premium)","1,471","1,662","2,693","2,208","2,293"
"Net Claims Paid and Outstanding","1,103","1,604","1,561","2,546","2,041"
"Loss Reserve (b)","10,425","7,270","4,556","-","-"
"4. 
  General Accident Insurance  (miscellaneous)","","","","",""
"Net Premium (Gross Premium - Reinsurance Premium)","13,654","16,050","16,060","20,742","20,590"
"Net Claims Paid and Outstanding","10,410","14,783","15,758","19,908","13,351"
"Loss Reserve (b)","7,307","4,477","5,468","-","-"
"5.     Marine Insurance","","","","",""
"Net Premium (Gross Premium - Reinsurance Premium)","875","1,015","1,145","1,161","921"
"Net Claims Paid and Outstanding","254","344","419","501","256"
"Loss Reserve (b)","1,010","609","620","-","-"
"6. 
  Motor Insurance","","","","",""
"Net Premium (Gross Premium - Reinsurance Premium)","48,050","53,903","58,228","59,456","56,911"
"Net Claims Paid and Outstanding","29,249","31,190","34,652","34,501","26,881"
"Loss Reserve (b)","8,429","9,156","9,442","-","-"
"7. 
  Total Premium Income from General Insurance","","","","",""
"Net Premium (Gross Premium - Reinsurance Premium)","64,050","72,629","78,125","83,567","80,716"
"Net Claims Paid and Outstanding","41,017","47,921","52,390","57,456","42,529"
"Loss Reserve (b)","27,171","21,511","20,086","-","-"
"Operating Profit/Loss","12,067","5,780","7,272","7,079","16,985"
"8. 
  No. of Employees","16,896","18,467","19,437","19,841","19,571"
"9. 
  Total Number of Branches","1,971","2,079","2,147","2,069","1,953"
"10.    No. of Institutions","29","26","28","27","27"
"(a) Provisional","","","","Source : Insurance Regulatory Commission of Sri Lanka",""
