"TPC","Trade and Productivity Commission","UTs","Unit Trusts"
"TPP","Trans-Pacific Partnership","UTCS","Unified Transport Card Solution"
"TPR","Trade Policy Review","UTEL","University Test of English Language"
"TPTL","Trinco Petroleum Terminal Private Limited","UTMC","Unit Trust Management Company"
"TRCSL","Telecommunications Regulatory Commission of","VAT","Value Added Tax"
"","Sri Lanka","VDRL","Venereal Disease Research Laboratory"
"TRI","Tea Research Institute","VIAP","Volume Index of Agricultural Production"
"TSA","The Standardised Approach","VJP","Visiting Journalist Program"
"TSCFL","The Standard Credit Finance Ltd.","VMS","Variable Message Sign"
"TSEP","Transforming the School Education System as the","VMS","Vessel Monitoring System"
"","Foundation of Knowledge Hub Project","",""
"","","VoA","Vote on Account"
"TSHDA","Tea Small Holdings Development Authority","",""
"","","VRI","Veterinary Research Institute"
"TSP","Tourism Strategic Plan","",""
"","","VSSO","Voluntary Social Service Organisations"
"TSP","Triple Super Phosphate","",""
"","","VTA","Vocational Training Authority"
"TVEC","Tertiary and Vocational Education Commission","",""
"","","WASH","Water, Sanitation and Hygiene"
"TVET","Technical and Vocational Education and Training","",""
"","","WAYR","Weighted Average Yield Rate"
"TVRS","Tourist Vat Refund System","",""
"","","WBB","Welfare Benefits Board"
"UAE","United Arab Emirates","",""
"","","WBIS","Welfare Benefits Information System"
"UAT","User Acceptance Testing","",""
"","","WBTA","World Bank Technical Assistance"
"UCT","Unity Container Terminal","",""
"","","WCL","Working Capital Loans"
"UDA","Urban Development Authority","",""
"","","WCLSTF","Working Capital Loan Scheme for Tea Factories"
"UGC","University Grants Commission","",""
"","","WCLWD","Weligama Coconut Leaf Wilt Disease"
"UHT","Ultra Heat Treated","",""
"","","WCO","World Customs Organization"
"UID","Unique Identification","",""
"","","WCT","West Container Terminal"
"UIG","University, Industry and Government","",""
"","","WEDF","World Export Development Forum"
"UINs","Unique Identification Numbers","",""
"","","WEDP","Women Entrepreneurship Development"
"UIP","Uncovered Interest Rate Parity","",""
"","","","Programme"
"UK","United Kingdom","",""
"","","WEF","With Effect From"
"UKGT","United Kingdom’s Global Tariffs","",""
"","","WEF","World Economic Forum"
"UN","United Nations","",""
"","","WEO","World Economic Outlook"
"UNCCD","United Nations Convention to Combat","",""
"","","WEPA","Water Environment Partnership Association"
"","Desertification","",""
"","","WFH","Work From Home"
"UNCTAD","United Nations Conference on Trade and","WFP","World Food Programme"
"","Development","WHO","World Health Organization"
"UNDP","United Nations Development Programme","WHT","Withholding Tax"
"UNEP","United Nations Environment Programme","WIPO","World Intellectual Property Office"
"UNESCAP","United Nations Economic and Social Commission","WMD","Weapons of Mass Destruction"
"","","W & OP","Widows’ and Orphans’ Pension"
"","for Asia and Pacific","",""
"","","WPI","Wholesale Price Index"
"UNFCCC","United Nations Framework Convention on","",""
"","","WR & OP","Widowers’ and Orphans’ Pension"
"","Climate Change","",""
"","","WRMDP","Western Region Megapolis Development Plan"
"UNICEF","United Nations International Children’s","",""
"","","WRS","Web-based Recruitment System"
"","Emergency Fund","",""
"UN-REDD","United Nations Programme on Reducing","WTI","West Texas Intermediate"
"","Emissions from Deforestation and Forest","WTO","World Trade Organization"
"","Degradation","WTTC","World Travel and Tourism Council"
"UNWTO","United Nation’s World Tourism Organization","WUSL","Wayamba University of Sri Lanka"
"USA/US","United States of America","WWF","Workers’ Welfare Fund"
"USD/US$","United States Dollar","YOY","Year On Year"
"USDA","Urban Settlement Development Authority","ZBB","Zero Based Budgeting"
