"","KEY ECONOMIC INDICATORS (Contd.)","","","","","",""
"","2016","2017","2018","2019","2020","2021","2022 (a)"
"Current account balance (per cent of GDP) (e)(l)","-2.0","-2.4","-3.0","-2.1","-1.4","-3.7","-1.9"
"Total foreign assets (months of the same year imports) (m)","5.3","6.0","5.2","6.3","6.4","3.6","3.9"
"Gross official reserves (months of the same year imports)","3.8","4.6","3.7","4.6","4.2","1.8","1.2"
"Overall debt service ratio (n)","","","","","","",""
"As a percentage of export of goods and services","25.6","23.9","28.9","29.7","35.2","30.7","15.3"
"As a percentage of current receipts","18.0","17.3","21.3","21.8","22.6","22.3","12.2"
"Total external debt (per cent of GDP) (e)(l)","52.8","54.7","55.3","61.6","58.0","58.5","64.5"
"EXCHANGE RATES","","","","","","",""
"Annual average","","","","","","",""
"Rs/US$","145.60","152.46","162.54","178.78","185.52","198.88","324.55"
"Rs/SDR (o)","202.39","211.49","229.90","246.97","258.61","283.18","431.91"
"NEER (2017 = 100) (24 - currency basket) (p)","104.91","100.00","94.05","88.17","85.93","78.64","53.99"
"REER  (2017 = 100) (24 - currency basket) (p)(q)","100.55","100.00","95.45","90.42","91.52","83.58","54.33"
"Year end","","","","","","",""
"Rs/US$","149.80","152.85","182.75","181.63","186.41","200.43","363.11"
"Rs/SDR (o)","201.38","217.69","253.51","251.17","268.48","280.53","483.24"
"GOVERNMENT FINANCE (per cent of GDP) (e)(r)","","","","","","",""
"Revenue and grants","13.2","12.8","12.6","11.9","8.8","8.3","8.3"
"Revenue","13.2","12.7","12.5","11.9","8.7","8.3","8.2"
"o/w Tax revenue","11.4","11.6","11.2","10.9","7.8","7.4","7.3"
"Grants","0.1","0.1","0.1","0.0","0.0","0.0","0.1"
"Expenditure and net lending","18.2","17.9","17.5","21.0","19.4","20.0","18.5"
"Recurrent expenditure","13.7","13.4","13.6","15.2","16.3","15.6","14.6"
"Capital expenditure and net lending","4.5","4.5","3.9","5.7","3.1","4.4","3.9"
"Current account balance","-0.6","-0.7","-1.1","-3.4","-7.5","-7.3","-6.4"
"Primary balance","-0.2","0.0","0.6","-3.4","-4.4","-5.7","-3.7"
"Overall fiscal balance","-5.0","-5.1","-5.0","-9.0","-10.6","-11.7","-10.2"
"Deficit financing","5.0","5.1","5.0","9.0","10.6","11.7","10.2"
"Foreign","3.1","3.1","2.1","3.4","-0.5","-0.1","1.8"
"Domestic","1.9","2.0","2.8","5.6","11.2","11.8","8.4"
"Central government debt (s)","74.0","72.2","78.4","81.9","96.5","100.1","113.8 (t)"
"Foreign","31.6","32.8","38.8","39.0","38.6","37.0","51.6 (t)"
"Domestic (u)","42.4","39.4","39.5","42.9","57.8","63.1","62.3 (t)"
"MONETARY AGGREGATES (year-on-year percentage change)","","","","","","",""
"Reserve money","27.1","9.8","2.3","-3.0","3.4","35.4","3.3"
"Narrow money (M1)","8.6","2.1","4.7","4.2","36.0","24.0","-0.4"
"Broad money (M2b)","18.4","16.7","13.0","7.0","23.4","13.2","15.4"
"Net foreign assets of the banking system","22.4","152.6","-155.1","250.3","-308.0","-368.8","-79.9"
"Net domestic assets of the banking system","15.9","9.8","16.3","4.6","27.8","20.9","20.9"
"Domestic credit from the banking system to","","","","","","",""
"Government (net)","12.1","10.0","16.1","11.1","62.7","28.2","28.1"
"Public corporations/SOBEs","-3.2","4.5","40.7","8.3","22.5","18.6","47.0"
"Private sector","21.6","14.7","15.9","4.2","6.5","13.1","6.2"
"Money multiplier for M2b (end year)","6.31","6.71","7.42","8.18","9.75","8.15","9.11"
"Velocity of M2b (average for the year)(e)","2.59","2.43","2.27","2.16","1.84","1.73","2.05"
"INTEREST RATES (per cent per annum at year end)","","","","","","",""
"Standing Deposit Facility Rate (SDFR)","7.00","7.25","8.00","7.00","4.50","5.00","14.50"
"Standing Lending Facility Rate (SLFR)","8.50","8.75","9.00","8.00","5.50","6.00","15.50"
"Bank Rate (v)","15.00","15.00","15.00","15.00","8.50","9.00","30.22"
"Legal Rate of Interest / Market Rate of Interest (w)","5.98","7.06","9.08","11.50","11.64","10.12","7.48"
"Money market rates","","","","","","",""
"Average weighted call money rate (AWCMR)","8.42","8.15","8.95","7.45","4.55","5.95","15.50"
"Treasury bill yields","","","","","","",""
"91-day","8.72","7.69","10.01","7.51","4.69","8.16","32.64"
"364-day","10.17","8.90","11.20","8.45","5.05","8.24","29.27"
"Deposit rates","","","","","","",""
"Commercial banks’ average weighted deposit rate (AWDR)","8.17","9.07","8.81","8.20","5.80","4.94","14.06"
"Commercial banks’ average weighted fixed deposit rate (AWFDR)","10.46","11.48","10.85","10.05","7.14","5.94","18.49"
"Commercial banks’ average weighted new deposit rate (AWNDR)","11.17","10.06","10.94","8.89","4.93","6.45","23.07"
"Commercial banks’ average weighted new fixed deposit rate (AWNFDR)","11.44","10.65","11.27","9.17","5.08","6.67","23.73"
"NSB savings rate","4.25","4.00","4.00","4.00","3.50","3.50","3.00"
"NSB 12 month fixed deposit rate","11.00","11.00","10.50","9.83","5.25","5.50","12.00"
"Lending rates","","","","","","",""
"Commercial banks’ average weighted prime lending rate (AWPR)-Weekly","11.52","11.55","12.09","9.74","5.81","8.61","27.24"
"Commercial banks’ average weighted lending rate (AWLR)","13.20","13.88","14.40","13.59","10.29","9.87","18.70"
"Commercial banks’ average weighted new lending rate (AWNLR)","13.94","14.31","14.54","12.80","8.38","9.48","26.20"
"CAPITAL MARKET","","","","","","",""
"All share price index (ASPI) (1985 = 100)","6,228.3","6,369.3","6,052.4","6,129.2","6,774.2","12,226.0","8,489.7"
"S&P SL20 index (2004 Dec = 1,000)","3,496.4","3,671.7","3,135.2","2,937.0","2,638.1","4,233.3","2,635.6"
"Value of shares traded (Rs. million)","176,935","220,591","200,069","171,408","396,882","1,173,157","686,602"
"Net purchases by non nationals (Rs. million)","338","17,655","-23,239","-11,735","-51,356","-52,648 (x)","30,625"
"Market capitalisation (Rs. billion)","2,745.4","2,899.3","2,839.5","2,851.3","2,960.7","5,489.2","3,847.2"
"(l)    Based on GDP estimates in US dollars","(t)","The  outstanding  central  government  debt  excludes  several  debt  service  payments  that  became","","","","",""
